codigo_fifa,equipo,grupo,prioridad,priority_score,missing_team_fields_count,players_count,slot_gap_to_top8,missing_player_cells,hist_matches_count,md_file,md_sections_count,md_has_jugadores,md_has_noticias,missing_items
NZL,New Zealand,G,Critica,55,10,3,5,15,0,new_zealand.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
NOR,Norway,I,Critica,55,10,3,5,15,0,norway.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
PAN,Panama,L,Critica,55,10,3,5,15,0,panama.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
QAT,Qatar,B,Critica,55,10,3,5,15,0,qatar.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
KSA,Saudi Arabia,H,Critica,55,10,3,5,15,0,saudi_arabia.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
SCO,Scotland,C,Critica,55,10,3,5,15,0,scotland.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
SEN,Senegal,I,Critica,55,10,3,5,15,0,senegal.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
RSA,South Africa,A,Critica,55,11,3,5,15,0,south_africa.md,4,0,0,"team:ranking_fifa,dt,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
SWE,Sweden,F,Critica,55,10,3,5,15,0,sweden.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
TUN,Tunisia,F,Critica,55,10,3,5,15,0,tunisia.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
UZB,Uzbekistan,K,Critica,55,10,3,5,15,0,uzbekistan.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
BEL,Belgium,G,Critica,51,9,3,5,15,2,belgium.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
BRA,Brazil,C,Critica,51,9,3,5,15,2,brasil.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
CUW,Curacao,E,Critica,51,10,3,5,15,1,curacao.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
MEX,Mexico,A,Critica,51,10,3,5,15,2,mexico.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
MAR,Morocco,C,Critica,51,9,3,5,15,2,morocco.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
POR,Portugal,K,Critica,51,9,3,5,15,2,portugal.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
ESP,Spain,H,Critica,51,9,3,5,15,2,spain.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
SUI,Switzerland,B,Critica,51,10,3,5,15,1,switzerland.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
URU,Uruguay,H,Critica,51,10,3,5,15,1,uruguay.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | md_sin_jugadores | md_sin_noticias"
AUS,Australia,Por confirmar (fixture completo pendiente),Critica,30,8,33,0,117,3,australia.md,13,1,1,"team:goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_celdas_nulas:117"
PAR,Paraguay,D,Alta,27,5,29,0,104,6,paraguay.md,12,1,1,"team:xg,xga,ppda,pases_progresivos,efectividad_set_pieces | jugadores_celdas_nulas:104"
TUR,Turquía,D,Alta,27,5,33,0,117,8,turquia.md,12,1,1,"team:xg,xga,ppda,pases_progresivos,efectividad_set_pieces | jugadores_celdas_nulas:117"
USA,Estados Unidos,D,Alta,26,7,29,0,88,7,usa.md,12,1,1,"team:goles_favor,goles_contra,xg,xga,ppda,pases_progresivos,efectividad_set_pieces | jugadores_celdas_nulas:88"
